ADHOME = D:\SVN\ad2005
jaso2jh() wrong!8861 -  2 3 1
jaso2jh() wrong!BBB5 -  E 1D 15
jaso2jh() wrong!BBB7 -  E 1D 17
jaso2jh() wrong!BBB8 -  E 1D 18
jaso2jh() wrong!BBBB -  E 1D 1B
jaso2jh() wrong!BBBC -  E 1D 1C
jaso2jh() wrong!BC61 -  F 3 1
jaso2jh() wrong!BC62 -  F 3 2
jaso2jh() wrong!BC65 -  F 3 5
jaso2jh() wrong!BC67 -  F 3 7
jaso2jh() wrong!BC69 -  F 3 9
jaso2jh() wrong!BC6C -  F 3 C
jaso2jh() wrong!BC71 -  F 3 11
jaso2jh() wrong!BC73 -  F 3 13
jaso2jh() wrong!BC75 -  F 3 15
jaso2jh() wrong!BC76 -  F 3 16
jaso2jh() wrong!BC77 -  F 3 17
jaso2jh() wrong!BC81 -  F 4 1
jaso2jh() wrong!BC82 -  F 4 2
jaso2jh() wrong!BC85 -  F 4 5
jaso2jh() wrong!BC89 -  F 4 9
jaso2jh() wrong!BC91 -  F 4 11
jaso2jh() wrong!BC93 -  F 4 13
jaso2jh() wrong!BC95 -  F 4 15
jaso2jh() wrong!BC96 -  F 4 16
jaso2jh() wrong!BC97 -  F 4 17
jaso2jh() wrong!BCA1 -  F 5 1
jaso2jh() wrong!BCA5 -  F 5 5
jaso2jh() wrong!BCB7 -  F 5 17
jaso2jh() wrong!BCE1 -  F 7 1
jaso2jh() wrong!BCE2 -  F 7 2
jaso2jh() wrong!BCE5 -  F 7 5
jaso2jh() wrong!BCE9 -  F 7 9
jaso2jh() wrong!BCF1 -  F 7 11
jaso2jh() wrong!BCF3 -  F 7 13
jaso2jh() wrong!BCF5 -  F 7 15
jaso2jh() wrong!BCF6 -  F 7 16
jaso2jh() wrong!BCF7 -  F 7 17
jaso2jh() wrong!BD41 -  F A 1
jaso2jh() wrong!BD57 -  F A 17
jaso2jh() wrong!BD61 -  F B 1
jaso2jh() wrong!BD76 -  F B 16
jaso2jh() wrong!BDA1 -  F D 1
jaso2jh() wrong!BDA2 -  F D 2
jaso2jh() wrong!BDA5 -  F D 5
jaso2jh() wrong!BDA9 -  F D 9
jaso2jh() wrong!BDB1 -  F D 11
jaso2jh() wrong!BDB3 -  F D 13
jaso2jh() wrong!BDB5 -  F D 15
jaso2jh() wrong!BDB7 -  F D 17
jaso2jh() wrong!BDB9 -  F D 19
jaso2jh() wrong!BDC1 -  F E 1
jaso2jh() wrong!BDC2 -  F E 2
jaso2jh() wrong!BDC9 -  F E 9
jaso2jh() wrong!BDD6 -  F E 16
jaso2jh() wrong!BDE1 -  F F 1
jaso2jh() wrong!BDF6 -  F F 16
jaso2jh() wrong!BE41 -  F 12 1
jaso2jh() wrong!BE45 -  F 12 5
jaso2jh() wrong!BE49 -  F 12 9
jaso2jh() wrong!BE51 -  F 12 11
jaso2jh() wrong!BE53 -  F 12 13
jaso2jh() wrong!BE77 -  F 13 17
jaso2jh() wrong!BE81 -  F 14 1
jaso2jh() wrong!BE82 -  F 14 2
jaso2jh() wrong!BE85 -  F 14 5
jaso2jh() wrong!BE89 -  F 14 9
jaso2jh() wrong!BE91 -  F 14 11
jaso2jh() wrong!BE93 -  F 14 13
jaso2jh() wrong!BE97 -  F 14 17
jaso2jh() wrong!BEA1 -  F 15 1
jaso2jh() wrong!BEB6 -  F 15 16
jaso2jh() wrong!BEB7 -  F 15 17
jaso2jh() wrong!BEE1 -  F 17 1
jaso2jh() wrong!BF41 -  F 1A 1
jaso2jh() wrong!BF61 -  F 1B 1
jaso2jh() wrong!BF71 -  F 1B 11
jaso2jh() wrong!BF75 -  F 1B 15
jaso2jh() wrong!BF77 -  F 1B 17
jaso2jh() wrong!BFA1 -  F 1D 1
jaso2jh() wrong!BFA2 -  F 1D 2
jaso2jh() wrong!BFA5 -  F 1D 5
jaso2jh() wrong!BFA9 -  F 1D 9
jaso2jh() wrong!BFB1 -  F 1D 11
jaso2jh() wrong!BFB3 -  F 1D 13
jaso2jh() wrong!BFB7 -  F 1D 17
jaso2jh() wrong!BFB8 -  F 1D 18
jaso2jh() wrong!BFBD -  F 1D 1D
jaso2jh() wrong!C061 -  10 3 1
jaso2jh() wrong!C062 -  10 3 2
jaso2jh() wrong!C065 -  10 3 5
jaso2jh() wrong!C067 -  10 3 7
jaso2jh() wrong!C069 -  10 3 9
jaso2jh() wrong!C071 -  10 3 11
jaso2jh() wrong!C073 -  10 3 13
jaso2jh() wrong!C075 -  10 3 15
jaso2jh() wrong!C076 -  10 3 16
jaso2jh() wrong!C077 -  10 3 17
jaso2jh() wrong!C078 -  10 3 18
jaso2jh() wrong!C081 -  10 4 1
jaso2jh() wrong!C082 -  10 4 2
jaso2jh() wrong!C085 -  10 4 5
jaso2jh() wrong!C089 -  10 4 9
jaso2jh() wrong!C091 -  10 4 11
jaso2jh() wrong!C093 -  10 4 13
jaso2jh() wrong!C095 -  10 4 15
jaso2jh() wrong!C096 -  10 4 16
jaso2jh() wrong!C097 -  10 4 17
jaso2jh() wrong!C0A1 -  10 5 1
jaso2jh() wrong!C0A5 -  10 5 5
jaso2jh() wrong!C0A7 -  10 5 7
jaso2jh() wrong!C0A9 -  10 5 9
jaso2jh() wrong!C0B1 -  10 5 11
jaso2jh() wrong!C0B7 -  10 5 17
jaso2jh() wrong!C0E1 -  10 7 1
jaso2jh() wrong!C0E2 -  10 7 2
jaso2jh() wrong!C0E5 -  10 7 5
jaso2jh() wrong!C0E9 -  10 7 9
jaso2jh() wrong!C0F1 -  10 7 11
jaso2jh() wrong!C0F3 -  10 7 13
jaso2jh() wrong!C0F5 -  10 7 15
jaso2jh() wrong!C0F6 -  10 7 16
jaso2jh() wrong!C0F7 -  10 7 17
jaso2jh() wrong!C141 -  10 A 1
jaso2jh() wrong!C142 -  10 A 2
jaso2jh() wrong!C145 -  10 A 5
jaso2jh() wrong!C149 -  10 A 9
jaso2jh() wrong!C151 -  10 A 11
jaso2jh() wrong!C153 -  10 A 13
jaso2jh() wrong!C155 -  10 A 15
jaso2jh() wrong!C157 -  10 A 17
jaso2jh() wrong!C161 -  10 B 1
jaso2jh() wrong!C165 -  10 B 5
jaso2jh() wrong!C176 -  10 B 16
jaso2jh() wrong!C181 -  10 C 1
jaso2jh() wrong!C185 -  10 C 5
jaso2jh() wrong!C197 -  10 C 17
jaso2jh() wrong!C1A1 -  10 D 1
jaso2jh() wrong!C1A2 -  10 D 2
jaso2jh() wrong!C1A5 -  10 D 5
jaso2jh() wrong!C1A9 -  10 D 9
jaso2jh() wrong!C1B1 -  10 D 11
jaso2jh() wrong!C1B3 -  10 D 13
jaso2jh() wrong!C1B5 -  10 D 15
jaso2jh() wrong!C1B7 -  10 D 17
jaso2jh() wrong!C1C1 -  10 E 1
jaso2jh() wrong!C1C5 -  10 E 5
jaso2jh() wrong!C1C9 -  10 E 9
jaso2jh() wrong!C1D7 -  10 E 17
jaso2jh() wrong!C241 -  10 12 1
jaso2jh() wrong!C245 -  10 12 5
jaso2jh() wrong!C249 -  10 12 9
jaso2jh() wrong!C251 -  10 12 11
jaso2jh() wrong!C253 -  10 12 13
jaso2jh() wrong!C255 -  10 12 15
jaso2jh() wrong!C257 -  10 12 17
jaso2jh() wrong!C261 -  10 13 1
jaso2jh() wrong!C271 -  10 13 11
jaso2jh() wrong!C281 -  10 14 1
jaso2jh() wrong!C282 -  10 14 2
jaso2jh() wrong!C285 -  10 14 5
jaso2jh() wrong!C289 -  10 14 9
jaso2jh() wrong!C291 -  10 14 11
jaso2jh() wrong!C293 -  10 14 13
jaso2jh() wrong!C295 -  10 14 15
jaso2jh() wrong!C297 -  10 14 17
jaso2jh() wrong!C2A1 -  10 15 1
jaso2jh() wrong!C2B6 -  10 15 16
jaso2jh() wrong!C2C1 -  10 16 1
jaso2jh() wrong!C2C5 -  10 16 5
jaso2jh() wrong!C2E1 -  10 17 1
jaso2jh() wrong!C2E5 -  10 17 5
jaso2jh() wrong!C2E9 -  10 17 9
jaso2jh() wrong!C2F1 -  10 17 11
jaso2jh() wrong!C2F3 -  10 17 13
jaso2jh() wrong!C2F5 -  10 17 15
jaso2jh() wrong!C2F7 -  10 17 17
jaso2jh() wrong!C341 -  10 1A 1
jaso2jh() wrong!C345 -  10 1A 5
jaso2jh() wrong!C349 -  10 1A 9
jaso2jh() wrong!C351 -  10 1A 11
jaso2jh() wrong!C357 -  10 1A 17
jaso2jh() wrong!C361 -  10 1B 1
jaso2jh() wrong!C362 -  10 1B 2
jaso2jh() wrong!C365 -  10 1B 5
jaso2jh() wrong!C369 -  10 1B 9
jaso2jh() wrong!C371 -  10 1B 11
jaso2jh() wrong!C373 -  10 1B 13
jaso2jh() wrong!C375 -  10 1B 15
jaso2jh() wrong!C377 -  10 1B 17
jaso2jh() wrong!C3A1 -  10 1D 1
jaso2jh() wrong!C3A2 -  10 1D 2
jaso2jh() wrong!C3A5 -  10 1D 5
jaso2jh() wrong!C3A8 -  10 1D 8
jaso2jh() wrong!C3A9 -  10 1D 9
jaso2jh() wrong!C3AA -  10 1D A
jaso2jh() wrong!C3B1 -  10 1D 11
jaso2jh() wrong!C3B3 -  10 1D 13
jaso2jh() wrong!C3B5 -  10 1D 15
jaso2jh() wrong!C3B7 -  10 1D 17
jaso2jh() wrong!C461 -  11 3 1
jaso2jh() wrong!C462 -  11 3 2
jaso2jh() wrong!C465 -  11 3 5
jaso2jh() wrong!C469 -  11 3 9
jaso2jh() wrong!C471 -  11 3 11
jaso2jh() wrong!C473 -  11 3 13
jaso2jh() wrong!C475 -  11 3 15
jaso2jh() wrong!C477 -  11 3 17
jaso2jh() wrong!C481 -  11 4 1
jaso2jh() wrong!C482 -  11 4 2
jaso2jh() wrong!C485 -  11 4 5
jaso2jh() wrong!C489 -  11 4 9
jaso2jh() wrong!C491 -  11 4 11
jaso2jh() wrong!C493 -  11 4 13
jaso2jh() wrong!C495 -  11 4 15
jaso2jh() wrong!C496 -  11 4 16
jaso2jh() wrong!C497 -  11 4 17
jaso2jh() wrong!C4A1 -  11 5 1
jaso2jh() wrong!C4A2 -  11 5 2
jaso2jh() wrong!C4B7 -  11 5 17
jaso2jh() wrong!C4E1 -  11 7 1
jaso2jh() wrong!C4E2 -  11 7 2
jaso2jh() wrong!C4E5 -  11 7 5
jaso2jh() wrong!C4E8 -  11 7 8
jaso2jh() wrong!C4E9 -  11 7 9
jaso2jh() wrong!C4F1 -  11 7 11
jaso2jh() wrong!C4F3 -  11 7 13
jaso2jh() wrong!C4F5 -  11 7 15
jaso2jh() wrong!C4F6 -  11 7 16
jaso2jh() wrong!C4F7 -  11 7 17
jaso2jh() wrong!C541 -  11 A 1
jaso2jh() wrong!C542 -  11 A 2
jaso2jh() wrong!C545 -  11 A 5
jaso2jh() wrong!C549 -  11 A 9
jaso2jh() wrong!C551 -  11 A 11
jaso2jh() wrong!C553 -  11 A 13
jaso2jh() wrong!C555 -  11 A 15
jaso2jh() wrong!C557 -  11 A 17
jaso2jh() wrong!C561 -  11 B 1
jaso2jh() wrong!C565 -  11 B 5
jaso2jh() wrong!C569 -  11 B 9
jaso2jh() wrong!C571 -  11 B 11
jaso2jh() wrong!C573 -  11 B 13
jaso2jh() wrong!C575 -  11 B 15
jaso2jh() wrong!C576 -  11 B 16
jaso2jh() wrong!C577 -  11 B 17
jaso2jh() wrong!C581 -  11 C 1
jaso2jh() wrong!C5A1 -  11 D 1
jaso2jh() wrong!C5A2 -  11 D 2
jaso2jh() wrong!C5A5 -  11 D 5
jaso2jh() wrong!C5A9 -  11 D 9
jaso2jh() wrong!C5B1 -  11 D 11
jaso2jh() wrong!C5B3 -  11 D 13
jaso2jh() wrong!C5B5 -  11 D 15
jaso2jh() wrong!C5B7 -  11 D 17
jaso2jh() wrong!C5C1 -  11 E 1
jaso2jh() wrong!C5C2 -  11 E 2
jaso2jh() wrong!C5C5 -  11 E 5
jaso2jh() wrong!C5C9 -  11 E 9
jaso2jh() wrong!C5D1 -  11 E 11
jaso2jh() wrong!C5D7 -  11 E 17
jaso2jh() wrong!C5E1 -  11 F 1
jaso2jh() wrong!C5F7 -  11 F 17
jaso2jh() wrong!C641 -  11 12 1
jaso2jh() wrong!C649 -  11 12 9
jaso2jh() wrong!C661 -  11 13 1
jaso2jh() wrong!C681 -  11 14 1
jaso2jh() wrong!C682 -  11 14 2
jaso2jh() wrong!C685 -  11 14 5
jaso2jh() wrong!C689 -  11 14 9
jaso2jh() wrong!C691 -  11 14 11
jaso2jh() wrong!C693 -  11 14 13
jaso2jh() wrong!C695 -  11 14 15
jaso2jh() wrong!C697 -  11 14 17
jaso2jh() wrong!C6A1 -  11 15 1
jaso2jh() wrong!C6A5 -  11 15 5
jaso2jh() wrong!C6A9 -  11 15 9
jaso2jh() wrong!C6B7 -  11 15 17
jaso2jh() wrong!C6C1 -  11 16 1
jaso2jh() wrong!C6D7 -  11 16 17
jaso2jh() wrong!C6E1 -  11 17 1
jaso2jh() wrong!C6E2 -  11 17 2
jaso2jh() wrong!C6E5 -  11 17 5
jaso2jh() wrong!C6E9 -  11 17 9
jaso2jh() wrong!C6F1 -  11 17 11
jaso2jh() wrong!C6F3 -  11 17 13
jaso2jh() wrong!C6F5 -  11 17 15
jaso2jh() wrong!C6F7 -  11 17 17
jaso2jh() wrong!C741 -  11 1A 1
jaso2jh() wrong!C745 -  11 1A 5
jaso2jh() wrong!C749 -  11 1A 9
jaso2jh() wrong!C751 -  11 1A 11
jaso2jh() wrong!C761 -  11 1B 1
jaso2jh() wrong!C762 -  11 1B 2
jaso2jh() wrong!C765 -  11 1B 5
jaso2jh() wrong!C769 -  11 1B 9
jaso2jh() wrong!C771 -  11 1B 11
jaso2jh() wrong!C773 -  11 1B 13
jaso2jh() wrong!C777 -  11 1B 17
jaso2jh() wrong!C7A1 -  11 1D 1
jaso2jh() wrong!C7A2 -  11 1D 2
jaso2jh() wrong!C7A5 -  11 1D 5
jaso2jh() wrong!C7A9 -  11 1D 9
jaso2jh() wrong!C7B1 -  11 1D 11
jaso2jh() wrong!C7B3 -  11 1D 13
jaso2jh() wrong!C7B5 -  11 1D 15
jaso2jh() wrong!C7B7 -  11 1D 17
jaso2jh() wrong!C861 -  12 3 1
jaso2jh() wrong!C862 -  12 3 2
jaso2jh() wrong!C865 -  12 3 5
jaso2jh() wrong!C869 -  12 3 9
jaso2jh() wrong!C86A -  12 3 A
jaso2jh() wrong!C871 -  12 3 11
jaso2jh() wrong!C873 -  12 3 13
jaso2jh() wrong!C875 -  12 3 15
jaso2jh() wrong!C876 -  12 3 16
jaso2jh() wrong!C877 -  12 3 17
jaso2jh() wrong!C881 -  12 4 1
jaso2jh() wrong!C882 -  12 4 2
jaso2jh() wrong!C885 -  12 4 5
jaso2jh() wrong!C889 -  12 4 9
jaso2jh() wrong!C891 -  12 4 11
jaso2jh() wrong!C893 -  12 4 13
jaso2jh() wrong!C895 -  12 4 15
jaso2jh() wrong!C896 -  12 4 16
jaso2jh() wrong!C897 -  12 4 17
jaso2jh() wrong!C8A1 -  12 5 1
jaso2jh() wrong!C8B7 -  12 5 17
jaso2jh() wrong!C8E1 -  12 7 1
jaso2jh() wrong!C8E2 -  12 7 2
jaso2jh() wrong!C8E5 -  12 7 5
jaso2jh() wrong!C8E9 -  12 7 9
jaso2jh() wrong!C8EB -  12 7 B
jaso2jh() wrong!C8F1 -  12 7 11
jaso2jh() wrong!C8F3 -  12 7 13
jaso2jh() wrong!C8F5 -  12 7 15
jaso2jh() wrong!C8F6 -  12 7 16
jaso2jh() wrong!C8F7 -  12 7 17
jaso2jh() wrong!C941 -  12 A 1
jaso2jh() wrong!C942 -  12 A 2
jaso2jh() wrong!C945 -  12 A 5
jaso2jh() wrong!C949 -  12 A 9
jaso2jh() wrong!C951 -  12 A 11
jaso2jh() wrong!C953 -  12 A 13
jaso2jh() wrong!C955 -  12 A 15
jaso2jh() wrong!C957 -  12 A 17
jaso2jh() wrong!C961 -  12 B 1
jaso2jh() wrong!C965 -  12 B 5
jaso2jh() wrong!C976 -  12 B 16
jaso2jh() wrong!C981 -  12 C 1
jaso2jh() wrong!C985 -  12 C 5
jaso2jh() wrong!C9A1 -  12 D 1
jaso2jh() wrong!C9A2 -  12 D 2
jaso2jh() wrong!C9A5 -  12 D 5
jaso2jh() wrong!C9A9 -  12 D 9
jaso2jh() wrong!C9B1 -  12 D 11
jaso2jh() wrong!C9B3 -  12 D 13
jaso2jh() wrong!C9B5 -  12 D 15
jaso2jh() wrong!C9B7 -  12 D 17
jaso2jh() wrong!C9BC -  12 D 1C
jaso2jh() wrong!C9C1 -  12 E 1
jaso2jh() wrong!C9C5 -  12 E 5
jaso2jh() wrong!C9E1 -  12 F 1
jaso2jh() wrong!CA41 -  12 12 1
jaso2jh() wrong!CA45 -  12 12 5
jaso2jh() wrong!CA55 -  12 12 15
jaso2jh() wrong!CA57 -  12 12 17
jaso2jh() wrong!CA61 -  12 13 1
jaso2jh() wrong!CA81 -  12 14 1
jaso2jh() wrong!CA82 -  12 14 2
jaso2jh() wrong!CA85 -  12 14 5
jaso2jh() wrong!CA89 -  12 14 9
jaso2jh() wrong!CA91 -  12 14 11
jaso2jh() wrong!CA93 -  12 14 13
jaso2jh() wrong!CA95 -  12 14 15
jaso2jh() wrong!CA97 -  12 14 17
jaso2jh() wrong!CAA1 -  12 15 1
jaso2jh() wrong!CAB6 -  12 15 16
jaso2jh() wrong!CAC1 -  12 16 1
jaso2jh() wrong!CAE1 -  12 17 1
jaso2jh() wrong!CAE2 -  12 17 2
jaso2jh() wrong!CAE5 -  12 17 5
jaso2jh() wrong!CAE9 -  12 17 9
jaso2jh() wrong!CAF1 -  12 17 11
jaso2jh() wrong!CAF3 -  12 17 13
jaso2jh() wrong!CAF7 -  12 17 17
jaso2jh() wrong!CB41 -  12 1A 1
jaso2jh() wrong!CB45 -  12 1A 5
jaso2jh() wrong!CB49 -  12 1A 9
jaso2jh() wrong!CB51 -  12 1A 11
jaso2jh() wrong!CB57 -  12 1A 17
jaso2jh() wrong!CB61 -  12 1B 1
jaso2jh() wrong!CB62 -  12 1B 2
jaso2jh() wrong!CB65 -  12 1B 5
jaso2jh() wrong!CB68 -  12 1B 8
jaso2jh() wrong!CB69 -  12 1B 9
jaso2jh() wrong!CB6B -  12 1B B
jaso2jh() wrong!CB71 -  12 1B 11
jaso2jh() wrong!CB73 -  12 1B 13
jaso2jh() wrong!CB75 -  12 1B 15
jaso2jh() wrong!CB81 -  12 1C 1
jaso2jh() wrong!CB85 -  12 1C 5
jaso2jh() wrong!CB89 -  12 1C 9
jaso2jh() wrong!CB91 -  12 1C 11
jaso2jh() wrong!CB93 -  12 1C 13
jaso2jh() wrong!CBA1 -  12 1D 1
jaso2jh() wrong!CBA2 -  12 1D 2
jaso2jh() wrong!CBA5 -  12 1D 5
jaso2jh() wrong!CBA9 -  12 1D 9
jaso2jh() wrong!CBB1 -  12 1D 11
jaso2jh() wrong!CBB3 -  12 1D 13
jaso2jh() wrong!CBB5 -  12 1D 15
jaso2jh() wrong!CBB7 -  12 1D 17
jaso2jh() wrong!CC61 -  13 3 1
jaso2jh() wrong!CC62 -  13 3 2
jaso2jh() wrong!CC63 -  13 3 3
jaso2jh() wrong!CC65 -  13 3 5
jaso2jh() wrong!CC69 -  13 3 9
jaso2jh() wrong!CC6B -  13 3 B
jaso2jh() wrong!CC71 -  13 3 11
jaso2jh() wrong!CC73 -  13 3 13
jaso2jh() wrong!CC75 -  13 3 15
jaso2jh() wrong!CC76 -  13 3 16
jaso2jh() wrong!CC77 -  13 3 17
jaso2jh() wrong!CC7B -  13 3 1B
jaso2jh() wrong!CC81 -  13 4 1
jaso2jh() wrong!CC82 -  13 4 2
jaso2jh() wrong!CC85 -  13 4 5
jaso2jh() wrong!CC89 -  13 4 9
jaso2jh() wrong!CC91 -  13 4 11
jaso2jh() wrong!CC93 -  13 4 13
jaso2jh() wrong!CC95 -  13 4 15
jaso2jh() wrong!CC96 -  13 4 16
jaso2jh() wrong!CC97 -  13 4 17
jaso2jh() wrong!CCA1 -  13 5 1
jaso2jh() wrong!CCA2 -  13 5 2
jaso2jh() wrong!CCE1 -  13 7 1
jaso2jh() wrong!CCE2 -  13 7 2
jaso2jh() wrong!CCE5 -  13 7 5
jaso2jh() wrong!CCE9 -  13 7 9
jaso2jh() wrong!CCF1 -  13 7 11
jaso2jh() wrong!CCF3 -  13 7 13
jaso2jh() wrong!CCF5 -  13 7 15
jaso2jh() wrong!CCF6 -  13 7 16
jaso2jh() wrong!CCF7 -  13 7 17
jaso2jh() wrong!CD41 -  13 A 1
jaso2jh() wrong!CD42 -  13 A 2
jaso2jh() wrong!CD45 -  13 A 5
jaso2jh() wrong!CD49 -  13 A 9
jaso2jh() wrong!CD51 -  13 A 11
jaso2jh() wrong!CD53 -  13 A 13
jaso2jh() wrong!CD55 -  13 A 15
jaso2jh() wrong!CD57 -  13 A 17
jaso2jh() wrong!CD61 -  13 B 1
jaso2jh() wrong!CD65 -  13 B 5
jaso2jh() wrong!CD69 -  13 B 9
jaso2jh() wrong!CD71 -  13 B 11
jaso2jh() wrong!CD73 -  13 B 13
jaso2jh() wrong!CD76 -  13 B 16
jaso2jh() wrong!CD77 -  13 B 17
jaso2jh() wrong!CD81 -  13 C 1
jaso2jh() wrong!CD89 -  13 C 9
jaso2jh() wrong!CD93 -  13 C 13
jaso2jh() wrong!CD95 -  13 C 15
jaso2jh() wrong!CDA1 -  13 D 1
jaso2jh() wrong!CDA2 -  13 D 2
jaso2jh() wrong!CDA5 -  13 D 5
jaso2jh() wrong!CDA9 -  13 D 9
jaso2jh() wrong!CDB1 -  13 D 11
jaso2jh() wrong!CDB3 -  13 D 13
jaso2jh() wrong!CDB5 -  13 D 15
jaso2jh() wrong!CDB7 -  13 D 17
jaso2jh() wrong!CDC1 -  13 E 1
jaso2jh() wrong!CDD7 -  13 E 17
jaso2jh() wrong!CE41 -  13 12 1
jaso2jh() wrong!CE45 -  13 12 5
jaso2jh() wrong!CE61 -  13 13 1
jaso2jh() wrong!CE65 -  13 13 5
jaso2jh() wrong!CE69 -  13 13 9
jaso2jh() wrong!CE73 -  13 13 13
jaso2jh() wrong!CE75 -  13 13 15
jaso2jh() wrong!CE81 -  13 14 1
jaso2jh() wrong!CE82 -  13 14 2
jaso2jh() wrong!CE85 -  13 14 5
jaso2jh() wrong!CE88 -  13 14 8
jaso2jh() wrong!CE89 -  13 14 9
jaso2jh() wrong!CE8B -  13 14 B
jaso2jh() wrong!CE91 -  13 14 11
jaso2jh() wrong!CE93 -  13 14 13
jaso2jh() wrong!CE95 -  13 14 15
jaso2jh() wrong!CE97 -  13 14 17
jaso2jh() wrong!CEA1 -  13 15 1
jaso2jh() wrong!CEB7 -  13 15 17
jaso2jh() wrong!CEE1 -  13 17 1
jaso2jh() wrong!CEE5 -  13 17 5
jaso2jh() wrong!CEE9 -  13 17 9
jaso2jh() wrong!CEF1 -  13 17 11
jaso2jh() wrong!CEF5 -  13 17 15
jaso2jh() wrong!CF41 -  13 1A 1
jaso2jh() wrong!CF45 -  13 1A 5
jaso2jh() wrong!CF49 -  13 1A 9
jaso2jh() wrong!CF51 -  13 1A 11
jaso2jh() wrong!CF55 -  13 1A 15
jaso2jh() wrong!CF57 -  13 1A 17
jaso2jh() wrong!CF61 -  13 1B 1
jaso2jh() wrong!CF65 -  13 1B 5
jaso2jh() wrong!CF69 -  13 1B 9
jaso2jh() wrong!CF71 -  13 1B 11
jaso2jh() wrong!CF73 -  13 1B 13
jaso2jh() wrong!CF75 -  13 1B 15
jaso2jh() wrong!CFA1 -  13 1D 1
jaso2jh() wrong!CFA2 -  13 1D 2
jaso2jh() wrong!CFA5 -  13 1D 5
jaso2jh() wrong!CFA9 -  13 1D 9
jaso2jh() wrong!CFB1 -  13 1D 11
jaso2jh() wrong!CFB3 -  13 1D 13
jaso2jh() wrong!CFB5 -  13 1D 15
jaso2jh() wrong!CFB7 -  13 1D 17
jaso2jh() wrong!D061 -  14 3 1
jaso2jh() wrong!D062 -  14 3 2
jaso2jh() wrong!D065 -  14 3 5
jaso2jh() wrong!D069 -  14 3 9
jaso2jh() wrong!D06E -  14 3 E
jaso2jh() wrong!D071 -  14 3 11
jaso2jh() wrong!D073 -  14 3 13
jaso2jh() wrong!D075 -  14 3 15
jaso2jh() wrong!D077 -  14 3 17
jaso2jh() wrong!D081 -  14 4 1
jaso2jh() wrong!D082 -  14 4 2
jaso2jh() wrong!D085 -  14 4 5
jaso2jh() wrong!D089 -  14 4 9
jaso2jh() wrong!D091 -  14 4 11
jaso2jh() wrong!D093 -  14 4 13
jaso2jh() wrong!D095 -  14 4 15
jaso2jh() wrong!D096 -  14 4 16
jaso2jh() wrong!D097 -  14 4 17
jaso2jh() wrong!D0A1 -  14 5 1
jaso2jh() wrong!D0B7 -  14 5 17
jaso2jh() wrong!D0E1 -  14 7 1
jaso2jh() wrong!D0E2 -  14 7 2
jaso2jh() wrong!D0E5 -  14 7 5
jaso2jh() wrong!D0E9 -  14 7 9
jaso2jh() wrong!D0EB -  14 7 B
jaso2jh() wrong!D0F1 -  14 7 11
jaso2jh() wrong!D0F3 -  14 7 13
jaso2jh() wrong!D0F5 -  14 7 15
jaso2jh() wrong!D0F7 -  14 7 17
jaso2jh() wrong!D141 -  14 A 1
jaso2jh() wrong!D142 -  14 A 2
jaso2jh() wrong!D145 -  14 A 5
jaso2jh() wrong!D149 -  14 A 9
jaso2jh() wrong!D151 -  14 A 11
jaso2jh() wrong!D153 -  14 A 13
jaso2jh() wrong!D155 -  14 A 15
jaso2jh() wrong!D157 -  14 A 17
jaso2jh() wrong!D161 -  14 B 1
jaso2jh() wrong!D162 -  14 B 2
jaso2jh() wrong!D165 -  14 B 5
jaso2jh() wrong!D169 -  14 B 9
jaso2jh() wrong!D171 -  14 B 11
jaso2jh() wrong!D173 -  14 B 13
jaso2jh() wrong!D175 -  14 B 15
jaso2jh() wrong!D176 -  14 B 16
jaso2jh() wrong!D177 -  14 B 17
jaso2jh() wrong!D181 -  14 C 1
jaso2jh() wrong!D185 -  14 C 5
jaso2jh() wrong!D189 -  14 C 9
jaso2jh() wrong!D193 -  14 C 13
jaso2jh() wrong!D1A1 -  14 D 1
jaso2jh() wrong!D1A2 -  14 D 2
jaso2jh() wrong!D1A5 -  14 D 5
jaso2jh() wrong!D1A9 -  14 D 9
jaso2jh() wrong!D1AE -  14 D E
jaso2jh() wrong!D1B1 -  14 D 11
jaso2jh() wrong!D1B3 -  14 D 13
jaso2jh() wrong!D1B5 -  14 D 15
jaso2jh() wrong!D1B7 -  14 D 17
jaso2jh() wrong!D1BB -  14 D 1B
jaso2jh() wrong!D1C1 -  14 E 1
jaso2jh() wrong!D1C2 -  14 E 2
jaso2jh() wrong!D1C5 -  14 E 5
jaso2jh() wrong!D1C9 -  14 E 9
jaso2jh() wrong!D1D5 -  14 E 15
jaso2jh() wrong!D1D7 -  14 E 17
jaso2jh() wrong!D1E1 -  14 F 1
jaso2jh() wrong!D1E2 -  14 F 2
jaso2jh() wrong!D1E5 -  14 F 5
jaso2jh() wrong!D1F5 -  14 F 15
jaso2jh() wrong!D1F7 -  14 F 17
jaso2jh() wrong!D241 -  14 12 1
jaso2jh() wrong!D242 -  14 12 2
jaso2jh() wrong!D245 -  14 12 5
jaso2jh() wrong!D249 -  14 12 9
jaso2jh() wrong!D253 -  14 12 13
jaso2jh() wrong!D255 -  14 12 15
jaso2jh() wrong!D257 -  14 12 17
jaso2jh() wrong!D261 -  14 13 1
jaso2jh() wrong!D265 -  14 13 5
jaso2jh() wrong!D269 -  14 13 9
jaso2jh() wrong!D273 -  14 13 13
jaso2jh() wrong!D275 -  14 13 15
jaso2jh() wrong!D281 -  14 14 1
